LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 3d WCA system, random initial configuration

#variable density equal 0.5
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.01
variable tau equal 100*${dt}
variable tau equal 100*0.01
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.01
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       3

lattice         fcc ${density}
lattice         fcc 0.9
Lattice spacing in x,y,z = 1.6441414 1.6441414 1.6441414
region          box block 0 8 0 8 0 8
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 0) to (13.153131 13.153131 13.153131)
  2 by 1 by 2 MPI processor grid
create_atoms    1 box
Created 2048 atoms
  using lattice units in orthogonal box = (0 0 0) to (13.153131 13.153131 13.153131)
  create_atoms CPU = 0.001 seconds
mass 1 1.0

velocity all create ${initial_temperature} 99999
velocity all create 3 99999

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.01
thermo ${thermo_time}
thermo 500

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 1
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 21 21 21
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.103 | 3.103 | 3.103 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
Pair    | 1.0317     | 1.0369     | 1.0439     |   0.5 | 13.03
Neigh   | 4.8245     | 4.8402     | 4.8503     |   0.5 | 60.84
Comm    | 1.4207     | 1.4383     | 1.4586     |   1.1 | 18.08
Output  | 0.0018243  | 0.002382   | 0.0040477  |   2.0 |  0.03
Modify  | 0.40831    | 0.41091    | 0.4136     |   0.3 |  5.17
Other   |            | 0.2268     |            |       |  2.85

Nlocal:            512 ave         515 max         507 min
Histogram: 1 0 0 0 0 0 0 2 0 1
Nghost:         678.75 ave         686 max         671 min
Histogram: 1 0 1 0 0 0 0 0 1 1
Neighs:        2163.25 ave        2205 max        2122 min
Histogram: 1 0 0 1 0 1 0 0 0 1

Total # of neighbors = 8653
Ave neighs/atom = 4.2250977
Neighbor list builds = 20243
Dangerous builds = 0

unfix 1
dump           1 all atom ${run_steps} 3dWCA_T${final_temperature}_d${density}_N${run_steps}.lammpstrj
dump           1 all atom 100000 3dWCA_T${final_temperature}_d${density}_N${run_steps}.lammpstrj
dump           1 all atom 100000 3dWCA_T0.1_d${density}_N${run_steps}.lammpstrj
dump           1 all atom 100000 3dWCA_T0.1_d0.9_N${run_steps}.lammpstrj
dump           1 all atom 100000 3dWCA_T0.1_d0.9_N100000.lammpstrj
dump           2 all dcd ${thermo_time} 3dWCA_T${final_temperature}_d${density}_N${run_steps}.dcd
dump           2 all dcd 500 3dWCA_T${final_temperature}_d${density}_N${run_steps}.dcd
dump           2 all dcd 500 3dWCA_T0.1_d${density}_N${run_steps}.dcd
dump           2 all dcd 500 3dWCA_T0.1_d0.9_N${run_steps}.dcd
dump           2 all dcd 500 3dWCA_T0.1_d0.9_N100000.dcd
fix 1 all nvt temp ${initial_temperature} ${final_temperature} ${tau}
fix 1 all nvt temp 3 ${final_temperature} ${tau}
fix 1 all nvt temp 3 0.1 ${tau}
fix 1 all nvt temp 3 0.1 1

run ${run_steps}
run 100000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Per MPI rank memory allocation (min/avg/max) = 3.177 | 3.178 | 3.178 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
     50000   2.9447175      1.3885889      0              5.8035083      18.105485    
     50500   3.0126151      1.3401498      0              5.8568659      17.920101    
     51000   2.9208683      1.2935927      0              5.6727558      17.416948    
     51500   2.9614962      1.2671797      0              5.7072549      17.166058    
     52000   2.9446337      1.3010576      0              5.7158514      17.385133    
     52500   2.8832202      1.3575982      0              5.6803167      17.76737     
     53000   3.0363122      1.2603094      0              5.8125538      17.199986    
     53500   2.9080932      1.2011392      0              5.5611491      16.603104    
     54000   2.9463122      1.1882823      0              5.6055927      16.488874    
     54500   2.8415283      1.2926456      0              5.5528569      17.149748    
     55000   2.8047077      1.2892245      0              5.4942318      17.006521    
     55500   2.7775253      1.2379698      0              5.4022235      16.751923    
     56000   2.8468634      1.151179       0              5.419389       16.031865    
     56500   2.8112076      1.217208       0              5.4319605      16.593375    
     57000   2.8181889      1.2476544      0              5.4728736      16.697481    
     57500   2.6984653      1.3037822      0              5.3495038      17.209033    
     58000   2.8040312      1.1632999      0              5.3672929      16.041933    
     58500   2.7405088      1.1200123      0              5.2287683      15.620951    
     59000   2.7294398      1.2187476      0              5.3109082      16.428941    
     59500   2.7526659      1.2243899      0              5.3513727      16.702325    
     60000   2.672312       1.2101389      0              5.2166496      16.373756    
     60500   2.6656959      1.1247212      0              5.1213126      15.515456    
     61000   2.6637525      1.1883011      0              5.1819788      16.31885     
     61500   2.6998995      1.210232       0              5.2581038      16.474924    
     62000   2.6213092      1.2200557      0              5.1500997      16.561967    
     62500   2.6985571      1.156587       0              5.2024461      16.085284    
     63000   2.5781137      1.145342       0              5.0106243      15.78911     
     63500   2.6032055      1.1473299      0              5.0502315      15.899816    
     64000   2.5677494      1.1359535      0              4.985697       15.614987    
     64500   2.6234449      1.0551013      0              4.9883472      15.082235    
     65000   2.6132339      1.1166737      0              5.0346105      15.60736     
     65500   2.6313808      1.0746111      0              5.019755       15.15666     
     66000   2.4791411      1.1397841      0              4.85668        15.648995    
     66500   2.45727        1.0809819      0              4.7650871      15.019481    
     67000   2.4464598      1.1295176      0              4.7974154      15.457858    
     67500   2.4427605      1.1225488      0              4.7849004      15.422203    
     68000   2.4360323      0.98502074     0              4.637285       14.228226    
     68500   2.4376877      1.0381654      0              4.6929115      14.80976     
     69000   2.4495371      1.0489661      0              4.7214777      14.937882    
     69500   2.4687515      1.0824575      0              4.7837767      15.216928    
     70000   2.415829       1.0527538      0              4.674728       14.900772    
     70500   2.3962321      1.0271477      0              4.6197408      14.652638    
     71000   2.3511502      0.95101933     0              4.4760226      13.933658    
     71500   2.3603946      1.0053006      0              4.5441637      14.455641    
     72000   2.3399002      1.0210958      0              4.5292323      14.549269    
     72500   2.2664253      1.0504414      0              4.4484194      14.606649    
     73000   2.3021497      1.0222634      0              4.4738019      14.508675    
     73500   2.2911137      0.97622464     0              4.4112171      13.949591    
     74000   2.3347199      0.94239746     0              4.4427673      13.977772    
     74500   2.3219715      1.0165122      0              4.4977687      14.466077    
     75000   2.3354327      0.96827094     0              4.4697094      14.13399     
     75500   2.2696016      0.98011629     0              4.3828563      14.276671    
     76000   2.3263468      0.92335877     0              4.4111751      13.63052     
     76500   2.2254039      0.99469018     0              4.331166       14.260168    
     77000   2.2699858      0.95593457     0              4.3592507      13.924939    
     77500   2.2027511      0.91955492     0              4.2220682      13.48799     
     78000   2.1635486      0.98080832     0              4.2245465      13.857895    
     78500   2.1852388      0.96321097     0              4.2394686      13.920871    
     79000   2.0960722      0.98231864     0              4.1248918      13.834683    
     79500   2.0799719      0.91029895     0              4.0287335      13.416641    
     80000   2.034007       0.87682108     0              3.9263419      13.091694    
     80500   2.0667074      0.90678518     0              4.0053325      13.346753    
     81000   2.0735223      0.94502307     0              4.0537879      13.563137    
     81500   2.1153414      0.830673       0              4.0021358      12.549813    
     82000   2.0985233      0.81584366     0              3.9620916      12.504169    
     82500   2.0309954      0.87159527     0              3.9166008      12.82491     
     83000   2.018264       0.86915604     0              3.8950739      12.994476    
     83500   2.0134699      0.84951343     0              3.8682435      12.77477     
